tidal,greatlakes,shefcode,state,timezone,timezonecorr,observedst,stormsurge,forecast,nonNavigational,station_name,name,lat,lon,affiliations,portscode,self,expand,tideType,details,sensors,floodlevels,datums,supersededdatums,harmonicConstituents,benchmarks,tidePredOffsets,nearby,products,disclaimers,notices
True,False,FRCB6,,AST,-4,True,False,False,False,2695535,Bermuda Biological Station,32.369999,-64.695,,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695535/notices.json
True,False,BEPB6,Bermuda,AST,-4,True,False,False,False,2695540,"Bermuda, St. Georges Island",32.373306,-64.703306,Global,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/2695540/notices.json
True,False,PSBM1,ME,EST,-5,True,False,True,False,8410140,Eastport,44.904598,-66.982903,NWLON,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8410140/notices.json
True,False,CFWM1,ME,EST,-5,True,False,True,False,8411060,Cutler Farris Wharf,44.657028,-67.204666,NWLON,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8411060/notices.json
True,False,ATGM1,ME,EST,-5,True,False,True,False,8413320,Bar Harbor,44.392194,-68.204278,NWLON,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8413320/notices.json
True,False,CASM1,ME,EST,-5,True,False,True,False,8418150,Portland,43.65806,-70.24417,NWLON,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8418150/notices.json
True,False,WELM1,ME,EST,-5,True,False,True,False,8419317,Wells,43.32,-70.563301,COASTAL,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419317/notices.json
True,False,SEIM1,ME,EST,-5,True,False,True,False,8419870,Seavey Island,43.07972,-70.741,PORTS,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8419870/notices.json
True,False,BHBM3,MA,EST,-5,True,False,True,False,8443970,Boston,42.3539,-71.05028,NWLON,,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8443970/notices.json
True,False,FRVM3,MA,EST,-5,True,False,False,False,8447386,Fall River,41.7043,-71.164101,"PORTS,Global",nb,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386.json,"details,sensors,floodlevels,datums,harcon,tidepredoffsets,products,disclaimers,notices",Mixed,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/details.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/sensors.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/floodlevels.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/datums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/supersededdatums.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/harcon.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/benchmarks.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/tidepredoffsets.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/nearby.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/products.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/disclaimers.json,https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations/8447386/notices.json
